"Sample ID","Wavelength (nm)","Absorbance","NPOC","Standardized Absorbance (L mg-1 cm-1)"
"GB1",281,0.29,212.66,0.00136367911219787
"GB1",282,0.286333333333333,212.66,0.00134643719238848
"GB1",283,0.284,212.66,0.00133546506160068
"GB1",284,0.282,212.66,0.00132606037806828
"GB1",285,0.278,212.66,0.00130725101100348
"GB1",286,0.274666666666667,212.66,0.00129157653844948
"GB1",287,0.271,212.66,0.00127433461864008
"GB1",288,0.267666666666667,212.66,0.00125866014608608
"GB1",289,0.264,212.66,0.00124141822627669
"GB1",290,0.260333333333333,212.66,0.00122417630646729
"GB1",291,0.258,212.66,0.00121320417567949
"GB1",292,0.254333333333333,212.66,0.00119596225587009
"GB1",293,0.251333333333333,212.66,0.00118185523057149
"GB1",294,0.248333333333333,212.66,0.00116774820527289
"GB1",295,0.245,212.66,0.00115207373271889
"GB1",296,0.243333333333333,212.66,0.00114423649644189
"GB1",297,0.239333333333333,212.66,0.0011254271293771
"GB1",298,0.237,212.66,0.0011144549985893
"GB1",299,0.234333333333333,212.66,0.0011019154205461
"GB1",300,0.231666666666667,212.66,0.0010893758425029
"GB1",301,0.228666666666667,212.66,0.0010752688172043
"GB1",302,0.226,212.66,0.0010627292391611
"GB1",303,0.223666666666667,212.66,0.0010517571083733
"GB1",304,0.221,212.66,0.0010392175303301
"GB1",305,0.218333333333333,212.66,0.00102667795228691
"GB1",306,0.216333333333333,212.66,0.00101727326875451
"GB1",307,0.213,212.66,0.00100159879620051
"GB1",308,0.211333333333333,212.66,0.000993761559923509
"GB1",309,0.208333333333333,212.66,0.00097965453462491
"GB1",310,0.205666666666667,212.66,0.000967114956581711
"GB1",311,0.203666666666667,212.66,0.000957710273049312
"GB1",312,0.202,212.66,0.000949873036772313
"GB1",313,0.198666666666667,212.66,0.000934198564218314
"GB1",314,0.196333333333333,212.66,0.000923226433430515
"GB1",315,0.194,212.66,0.000912254302642716
"GB1",316,0.193,212.66,0.000907551960876517
"GB1",317,0.192333333333333,212.66,0.000904417066365717
"GB1",318,0.19,212.66,0.000893444935577918
"GB1",319,0.188333333333333,212.66,0.000885607699300918
"GB1",320,0.186666666666667,212.66,0.000877770463023919
"GB1",321,0.184666666666667,212.66,0.00086836577949152
"GB1",322,0.181,212.66,0.000851123859682122
"GB1",323,0.179333333333333,212.66,0.000843286623405123
"GB1",324,0.177,212.66,0.000832314492617323
"GB1",325,0.175666666666667,212.66,0.000826044703595724
"GB1",326,0.172666666666667,212.66,0.000811937678297125
"GB1",327,0.17,212.66,0.000799398100253927
"GB1",328,0.17,212.66,0.000799398100253927
"GB1",329,0.166666666666667,212.66,0.000783723627699928
"GB1",330,0.165333333333333,212.66,0.000777453838678328
"GB1",331,0.164333333333333,212.66,0.000772751496912129
"GB1",332,0.162333333333333,212.66,0.00076334681337973
"GB1",333,0.159333333333333,212.66,0.000749239788081131
"GB1",334,0.157,212.66,0.000738267657293332
"GB1",335,0.155,212.66,0.000728862973760933
"GB1",336,0.152333333333333,212.66,0.000716323395717734
"GB1",337,0.151666666666667,212.66,0.000713188501206934
"GB1",338,0.15,212.66,0.000705351264929935
"GB1",339,0.149333333333333,212.66,0.000702216370419135
"GB1",340,0.145,212.66,0.000681839556098937
"GB1",341,0.143333333333333,212.66,0.000674002319821938
"GB1",342,0.140333333333333,212.66,0.000659895294523339
"GB1",343,0.139,212.66,0.00065362550550174
"GB1",344,0.138666666666667,212.66,0.00065205805824634
"GB1",345,0.136,212.66,0.000639518480203141
"GB1",346,0.134333333333333,212.66,0.000631681243926142
"GB1",347,0.132,212.66,0.000620709113138343
"GB1",348,0.130333333333333,212.66,0.000612871876861344
"GB1",349,0.127333333333333,212.66,0.000598764851562745
"GB1",350,0.127666666666667,212.66,0.000600332298818145
"GB1",351,0.125,212.66,0.000587792720774946
"GB1",352,0.122666666666667,212.66,0.000576820589987147
"GB1",353,0.122,212.66,0.000573685695476347
"GB1",354,0.121,212.66,0.000568983353710148
"GB1",355,0.119333333333333,212.66,0.000561146117433148
"GB1",356,0.119333333333333,212.66,0.000561146117433148
"GB1",357,0.119,212.66,0.000559578670177749
"GB1",358,0.116666666666667,212.66,0.00054860653938995
"GB1",359,0.115666666666667,212.66,0.00054390419762375
"GB1",360,0.114666666666667,212.66,0.00053920185585755
"GB1",361,0.112333333333333,212.66,0.000528229725069751
"GB1",362,0.11,212.66,0.000517257594281952
"GB1",363,0.109,212.66,0.000512555252515753
"GB1",364,0.108,212.66,0.000507852910749553
"GB1",365,0.105666666666667,212.66,0.000496880779961754
"GB1",366,0.104333333333333,212.66,0.000490610990940155
"GB1",367,0.103666666666667,212.66,0.000487476096429355
"GB1",368,0.103,212.66,0.000484341201918555
"GB1",369,0.102333333333333,212.66,0.000481206307407756
"GB1",370,0.101,212.66,0.000474936518386156
"GB1",371,0.098,212.66,0.000460829493087558
"GB1",372,0.098,212.66,0.000460829493087558
"GB1",373,0.096,212.66,0.000451424809555158
"GB1",374,0.094,212.66,0.000442020126022759
"GB1",375,0.0946666666666667,212.66,0.000445155020533559
"GB1",376,0.095,212.66,0.000446722467788959
"GB1",377,0.0933333333333333,212.66,0.00043888523151196
"GB1",378,0.091,212.66,0.000427913100724161
"GB1",379,0.0896666666666667,212.66,0.000421643311702561
"GB1",380,0.0896666666666667,212.66,0.000421643311702561
"GB1",381,0.0893333333333333,212.66,0.000420075864447161
"GB1",382,0.088,212.66,0.000413806075425562
"GB1",383,0.0863333333333333,212.66,0.000405968839148563
"GB1",384,0.0863333333333333,212.66,0.000405968839148563
"GB1",385,0.0856666666666667,212.66,0.000402833944637763
"GB1",386,0.0836666666666667,212.66,0.000393429261105364
"GB1",387,0.084,212.66,0.000394996708360764
"GB1",388,0.0823333333333333,212.66,0.000387159472083764
"GB1",389,0.0816666666666667,212.66,0.000384024577572965
"GB1",390,0.0806666666666667,212.66,0.000379322235806765
"GB1",391,0.0793333333333333,212.66,0.000373052446785166
"GB1",392,0.0783333333333333,212.66,0.000368350105018966
"GB1",393,0.0786666666666667,212.66,0.000369917552274366
"GB1",394,0.078,212.66,0.000366782657763566
"GB1",395,0.0766666666666667,212.66,0.000360512868741967
"GB1",396,0.0756666666666667,212.66,0.000355810526975767
"GB1",397,0.0756666666666667,212.66,0.000355810526975767
"GB1",398,0.0743333333333333,212.66,0.000349540737954168
"GB1",399,0.0743333333333333,212.66,0.000349540737954168
"GB1",400,0.0733333333333333,212.66,0.000344838396187968
"GB1",401,0.0723333333333333,212.66,0.000340136054421769
"GB1",402,0.0716666666666667,212.66,0.000337001159910969
"GB1",403,0.0726666666666667,212.66,0.000341703501677169
"GB1",404,0.0716666666666667,212.66,0.000337001159910969
"GB1",405,0.0706666666666667,212.66,0.000332298818144769
"GB1",406,0.069,212.66,0.00032446158186777
"GB1",407,0.0696666666666667,212.66,0.00032759647637857
"GB1",408,0.0686666666666667,212.66,0.00032289413461237
"GB1",409,0.0673333333333333,212.66,0.000316624345590771
"GB1",410,0.0673333333333333,212.66,0.000316624345590771
"GB1",411,0.0673333333333333,212.66,0.000316624345590771
"GB1",412,0.0656666666666667,212.66,0.000308787109313772
"GB1",413,0.066,212.66,0.000310354556569171
"GB1",414,0.0663333333333333,212.66,0.000311922003824571
"GB1",415,0.065,212.66,0.000305652214802972
"GB1",416,0.065,212.66,0.000305652214802972
"GB1",417,0.0643333333333333,212.66,0.000302517320292172
"GB1",418,0.063,212.66,0.000296247531270573
"GB1",419,0.063,212.66,0.000296247531270573
"GB1",420,0.0633333333333333,212.66,0.000297814978525973
"GB1",421,0.0623333333333333,212.66,0.000293112636759773
"GB1",422,0.0623333333333333,212.66,0.000293112636759773
"GB1",423,0.0613333333333333,212.66,0.000288410294993573
"GB1",424,0.0603333333333333,212.66,0.000283707953227374
"GB1",425,0.0603333333333333,212.66,0.000283707953227374
"GB1",426,0.06,212.66,0.000282140505971974
"GB1",427,0.0593333333333333,212.66,0.000279005611461174
"GB1",428,0.058,212.66,0.000272735822439575
"GB1",429,0.058,212.66,0.000272735822439575
"GB1",430,0.0583333333333333,212.66,0.000274303269694975
"GB1",431,0.058,212.66,0.000272735822439575
"GB1",432,0.058,212.66,0.000272735822439575
"GB1",433,0.058,212.66,0.000272735822439575
"GB1",434,0.058,212.66,0.000272735822439575
"GB1",435,0.057,212.66,0.000268033480673375
"GB1",436,0.056,212.66,0.000263331138907176
"GB1",437,0.0566666666666667,212.66,0.000266466033417975
"GB1",438,0.057,212.66,0.000268033480673375
"GB1",439,0.056,212.66,0.000263331138907176
